"P09","P03","P13","P17","P18","P19","P02A","P05","P06","P08","P10","P11","P12","P15","P20","P21","P22","grupo_protesto","idade","renda","educação","ideologia","sexo","FATOR_POND"
9,9,9,8,8,8,10,9,9,2,10,9,1,2,1,9,1,"Não protestou",75,3,11,0,"Masculino",0.821427827079115
9,10,9,9,10,8,10,10,10,10,10,10,10,7,10,8,8,"Não protestou",24,1,12,10,"Feminino",1.21368992574473
8,10,10,10,10,10,10,10,10,10,10,9,10,8,10,0,3,"Não protestou",26,1,14,8,"Masculino",0.653986072830633
10,10,10,10,10,10,0,0,10,10,2,10,10,10,10,NA,0,"Não protestou",60,1,1,10,"Feminino",1.44096275258375
8,10,10,10,10,10,10,10,10,10,10,10,10,5,8,8,0,"Pensou em protestar",27,NA,14,5,"Feminino",0.881484162319734
10,10,10,10,10,9,9,8,9,10,9,10,8,10,10,9,8,"Não protestou",72,2,11,2,"Feminino",0.848232918337091
10,10,10,4,10,10,10,10,10,10,10,10,10,0,10,0,0,"Já protestou",36,3,14,5,"Masculino",0.917424480395887
5,5,5,9,10,10,10,5,3,5,10,5,5,5,7,5,0,"Não protestou",25,NA,14,5,"Masculino",0.810704555448087
10,10,10,10,10,10,10,7,5,10,10,9,10,8,10,7,1,"Já protestou",45,2,16,4,"Feminino",0.861900560711877
0,5,10,10,5,7,5,7,0,0,5,10,10,2,10,5,0,"Não protestou",35,4,14,10,"Masculino",1.16112984976227
6,5,7,2,6,8,5,9,1,6,4,9,8,2,4,4,4,"Não protestou",41,1,15,7,"Feminino",0.874957572198768
8,3,8,8,8,5,5,8,8,10,3,5,5,9,3,8,4,"Não protestou",42,2,8,5,"Masculino",0.783015516298249
8,7,10,10,9,9,9,8,7,8,6,8,9,7,8,9,2,"Não protestou",34,1,13,8,"Feminino",0.857073073003495
10,10,10,9,10,9,10,9,9,10,10,8,8,10,9,9,8,"Pensou em protestar",63,NA,7,9,"Masculino",0.909394284625616
0,10,0,0,10,10,10,0,10,10,10,10,10,7,10,0,0,"Não protestou",45,3,5,10,"Feminino",1.30641781468351
5,5,5,0,5,0,5,10,10,5,10,0,5,0,5,0,0,"Já protestou",49,3,16,10,"Masculino",1.39515771442096
10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,0,0,"Não protestou",25,1,14,5,"Masculino",0.835026915401271
10,10,10,8,10,10,10,10,10,10,8,8,8,8,8,10,7,"Já protestou",39,3,14,1,"Masculino",0.856084765578863
10,10,10,10,10,10,10,0,10,NA,10,0,10,10,10,10,0,"Não protestou",28,1,12,0,"Masculino",1.07711199232615
9,10,8,8,8,5,10,9,10,9,10,8,10,2,8,10,0,"Pensou em protestar",49,2,7,10,"Masculino",1.32932430672355
7,9,10,9,10,10,10,7,3,9,9,0,10,0,10,8,7,"Pensou em protestar",45,NA,14,2,"Feminino",0.827841101205713
9,5,10,10,10,10,6,8,6,3,6,3,0,5,3,6,0,"Não protestou",46,1,6,10,"Feminino",1.06031264569729
9,9,7,9,10,8,10,10,8,8,10,10,4,2,8,8,0,"Não protestou",64,3,16,5,"Feminino",0.995463634964997
10,10,5,8,10,6,9,10,5,8,10,10,10,4,8,0,0,"Não protestou",44,3,14,10,"Masculino",1.09293371441626
10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,7,"Não protestou",38,1,11,10,"Feminino",0.975898468850318
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",58,1,6,10,"Masculino",0.900685834010011
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,"Já protestou",22,1,11,5,"Masculino",0.97448135057174
8,10,10,5,10,7,10,8,10,10,10,10,10,0,10,10,0,"Não protestou",42,2,14,10,"Masculino",1.09091454382676
6,8,7,5,5,10,10,6,8,6,9,8,6,8,10,10,6,"Não protestou",66,NA,7,8,"Feminino",0.86773891338916
10,10,10,10,10,10,9,10,10,9,10,9,8,10,9,9,10,"Já protestou",53,1,6,10,"Masculino",0.810510653721344
9,9,10,10,10,10,10,9,8,7,10,8,10,7,7,9,8,"Não protestou",46,2,14,5,"Masculino",0.804861444695941
9,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,7,"Não protestou",26,NA,12,10,"Masculino",1.37519398755093
10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,"Não protestou",65,2,11,0,"Masculino",0.886055719386726
9,10,10,5,10,10,10,10,10,8,10,10,9,0,8,0,0,"Não protestou",29,1,14,5,"Masculino",0.944340742428642
6,9,10,8,10,10,10,10,10,10,10,10,10,5,7,5,0,"Não protestou",30,1,14,0,"Feminino",0.81702956130942
3,3,1,7,8,6,4,2,9,10,9,10,6,3,1,2,8,"Não protestou",36,1,1,10,"Masculino",1.06551329696004
5,10,10,10,10,10,10,10,6,NA,10,10,10,10,10,NA,0,"Não protestou",58,1,14,10,"Feminino",0.80413201283757
10,10,10,10,10,8,10,10,10,10,10,10,10,8,10,5,0,"Não protestou",55,4,12,9,"Masculino",1.09391456539291
